Auction Id Maybe,Title,Price,Sold Date,Specs Array,Specs,Hours,Condition,Auction Event Details,Auction Type,Auction House Link,Auction House Name,Year
42338,2009 Gleaner R66,"$115,000",08/20/2022,"ROTARY,ONLY 2177 ENGINE HOURS / 1509 SEP. HOURS,AG LEADER YIELD MONITOR,INTEGRA SCREEN,18' UNLOADING AUGER,LATERAL TILT,SINGLE POINT HOOKUP,30.5-32 TIRES,18.4-26 REAR TIRES,#HUT6191","ROTARY, ONLY 2177 ENGINE HOURS / 1509 SEP. HOURS, AG LEADER YIELD MONITOR, INTEGRA SCREEN, 18' UNLOADING AUGER, LATERAL TILT, SINGLE POINT HOOKUP, 30.5-32 TIRES, 18.4-26 REAR TIRES, #HUT6191",2177,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,2009
42338,2014 Kinze 3600,"$112,500",08/20/2022,"ASD,BULK FILL,12X24,SCALES,NO TILL,CAST CLOSING WHEELS,AG LEADER INSIGHT MONITOR,BEAN METERS ONLY","ASD, BULK FILL, 12X24, SCALES, NO TILL, CAST CLOSING WHEELS, AG LEADER INSIGHT MONITOR, BEAN METERS ONLY",,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,2014
42338,1993 John Deere 4960,"$67,500",08/20/2022,"MFWD,6503 HOURS,FULL CAB AIR/HEAT,POWER SHIFT,3 HYD REMOTES W/RETURN,10 FRONT WEIGHTS,18.4-42 TIRES W/HUB DUALS,18.4-R26 FRONT TIRES,FRONT FENDERS,NICE","MFWD, 6503 HOURS, FULL CAB AIR/HEAT, POWER SHIFT, 3 HYD REMOTES W/RETURN, 10 FRONT WEIGHTS, 18.4-42 TIRES W/HUB DUALS, 18.4-R26 FRONT TIRES, FRONT FENDERS, NICE",6503,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,1993
42338,2002 Mack CH613,"$50,000",08/20/2022,"SEMI TRACTOR,DAY CAB,488K MILES,AUTO SHIFT TRANSMISSION,355-380 HP ENGINE,11R-22.5 TIRES,ALUMINUM TIRES,NICE TRUCK","SEMI TRACTOR, DAY CAB, 488K MILES, AUTO SHIFT TRANSMISSION, 355-380 HP ENGINE, 11R-22.5 TIRES, ALUMINUM TIRES, NICE TRUCK",,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,2002
42338, Landoll 7431-26,"$46,000",08/20/2022,"7431 VT ROCK FLEX DISC,26',21 3/4"" BLADES,LOW USE,REAR HITCH/HYD","7431 VT ROCK FLEX DISC, 26', 21 3/4"" BLADES, LOW USE, REAR HITCH/HYD",,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338,2000 Freightliner FL80,"$44,000",08/20/2022,"GRAIN TRUCK,223K MILES,AUTO TRANS,CUMMINS 8.3L ENGINE,11R-22.5 TIRES,W/PARK HURST STEEL GRAIN BED,SCISSOR HOIST,TARP,REAR GRAIN DOOR","GRAIN TRUCK, 223K MILES, AUTO TRANS, CUMMINS 8.3L ENGINE, 11R-22.5 TIRES, W/PARK HURST STEEL GRAIN BED, SCISSOR HOIST, TARP, REAR GRAIN DOOR",,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,2000
42338, J&M 750,"$39,500",08/20/2022,"GRAIN CART,SCALE,HYD SPOUT ANGLE,TELESCOPIC SPOUT,18"" AUGER,30.5-32 TIRES,SMALL OR LARGE 1000 PTO,GREEN","GRAIN CART, SCALE, HYD SPOUT ANGLE, TELESCOPIC SPOUT, 18"" AUGER, 30.5-32 TIRES, SMALL OR LARGE 1000 PTO, GREEN",,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338,2011 Gleaner 9250,"$39,000",08/20/2022,"DYNA FLEX DRAPER HEAD,MODEL 9250,35',2 YEAR OLD BELTS,SELLS W/35' E-Z TRAIL HEADER CART ","DYNA FLEX DRAPER HEAD, MODEL 9250, 35', 2 YEAR OLD BELTS, SELLS W/35' E-Z TRAIL HEADER CART ",,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,2011
42338,1980 John Deere 4440,"$33,000",08/20/2022,"2WD,FULL CAB AIR/HEAT,6941 HOURS,1 OWNER,QUAD RANGE,QUICK HITCH,2 HYD REMOTES,4 FRONT WEIGHTS,540/1000 PTO,480.80R38 REAR TIRES,T-RAIL DUALS,#4440H039921R","2WD, FULL CAB AIR/HEAT, 6941 HOURS, 1 OWNER, QUAD RANGE, QUICK HITCH, 2 HYD REMOTES, 4 FRONT WEIGHTS, 540/1000 PTO, 480.80R38 REAR TIRES, T-RAIL DUALS, #4440H039921R",6941,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,1980
42338,2011 DRAKE 36' Hopper Trailer,"$29,000",08/20/2022,"36' STEEL HOPPER TRAILER,TANDEM,72"" SIDES,DOUBLE HOPPER,ROLL TARP,(NEVER USED IN WINTER) NICE","36' STEEL HOPPER TRAILER, TANDEM, 72"" SIDES, DOUBLE HOPPER, ROLL TARP, (NEVER USED IN WINTER) NICE",,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,2011
42338, Sunflower 5035,"$22,500",08/20/2022,"29',C-SHANK,KNOCK ON SHOVELS,5 BAR FLEX HARROW,TANDEM WHEELS,REAR HITCH/HYD.","29', C-SHANK, KNOCK ON SHOVELS, 5 BAR FLEX HARROW, TANDEM WHEELS, REAR HITCH/HYD.",,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338,1976 John Deere 4230,"$19,500",08/20/2022,"2WD,FULL CAB AIR/HEAT,QUAD RANGE,2 HYD REMOTES,QUICK HITCH,16.9-38 TIRES,(TRACTOR WAS OVER HAULED IN 1994) NO DUALS","2WD, FULL CAB AIR/HEAT, QUAD RANGE, 2 HYD REMOTES, QUICK HITCH, 16.9-38 TIRES, (TRACTOR WAS OVER HAULED IN 1994) NO DUALS",,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,1976
42338,2000 John Deere 1560,"$18,000",08/20/2022,"GRAIN DRILL,15',2PT. HITCH,VANGUARD MONITOR,YETTER MARKERS,RUST EVADOR FILL AUGER","GRAIN DRILL, 15', 2PT. HITCH, VANGUARD MONITOR, YETTER MARKERS, RUST EVADOR FILL AUGER",,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,2000
42338,2004 Gleaner 3000,"$15,000",08/20/2022,"6R-30 CORN HEAD,ELECTRIC,DECK PLATES,NEW CHAINS AND SPROCKETS 2 YEARS AGO","6R-30 CORN HEAD, ELECTRIC, DECK PLATES, NEW CHAINS AND SPROCKETS 2 YEARS AGO",,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,2004
42338, Case IH 2500,"$14,500",08/20/2022,"5 SHANK,3PT.,RIPPER,LIGHT KIT,VERY NICE,LIKE NEW","5 SHANK, 3PT., RIPPER, LIGHT KIT, VERY NICE, LIKE NEW",,Excellent,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, Unverferth 1225,"$7,000",08/20/2022,"30' DOUBLE ROLLING BASKET,SINGLE SPIKE HARROW","30' DOUBLE ROLLING BASKET, SINGLE SPIKE HARROW",,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, John Deere 610,"$7,000",08/20/2022,"3PT.,CHISEL PLOW,14 SHANK,UNVERFERTH RIDGE KNOCKER","3PT., CHISEL PLOW, 14 SHANK, UNVERFERTH RIDGE KNOCKER",,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, John Deere 1460,"$4,100",08/20/2022,Discbine,Discbine,,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
42338, Unverferth 235,"$3,250",08/20/2022,"GRAVITY WAGON,10T RUNNING GEAR,LIGHTS,TARP","GRAVITY WAGON, 10T RUNNING GEAR, LIGHTS, TARP",,Good,"Elmore, OH 43416",Farm,https://www.machinerypete.com//auction_companies/siefker-real-estate-auction-co,Siefker Real Estate & Auction Co,unknown
